,id,title,original_language,release_date,popularity,vote_average,vote_count
198,37165,The Truman Show,en,1998-06-04,59.081,8.1,16624
199,458220,Palmer,en,2021-01-29,56.728,8.1,1237
200,100,"Lock, Stock and Two Smoking Barrels",en,1998-08-28,13.675,8.1,6015
201,411088,The Invisible Guest,es,2017-01-06,39.73,8.1,4163
202,548,Rashomon,ja,1950-08-26,17.766,8.1,1918
203,9702,Bound by Honor,en,1993-02-05,51.111,8.1,1124
204,895,Andrei Rublev,ru,1966-12-16,13.876,8.1,688
205,239,Some Like It Hot,en,1959-03-19,31.047,8.1,3106
206,21634,Prayers for Bobby,en,2009-01-24,14.645,8.1,525
207,843,In the Mood for Love,cn,2000-09-29,33.163,8.1,2281
208,24382,Big Deal on Madonna Street,it,1958-07-26,7.353,8.1,626
209,38288,I corti,it,1996-03-29,5.005,8.1,336
210,12445,Harry Potter and the Deathly Hallows: Part 2,en,2011-07-07,148.429,8.1,19019
211,397567,Along with the Gods: The Two Worlds,ko,2017-12-20,53.121,8.1,859
212,149871,The Tale of The Princess Kaguya,ja,2013-11-23,23.736,8.1,1534
213,3780,Red Beard,ja,1965-04-03,13.331,8.1,295
214,46738,Incendies,fr,2010-09-04,20.956,8.1,2283
215,472454,Ayla: The Daughter of War,tr,2017-10-27,19.01,8.1,325
216,103663,The Hunt,da,2012-10-25,23.525,8.1,3688
217,280,Terminator 2: Judgment Day,en,1991-07-03,79.625,8.1,11608
218,38,Eternal Sunshine of the Spotless Mind,en,2004-03-19,52.003,8.1,13567
219,832,M,de,1931-05-11,17.718,8.1,1875
220,831827,Far from the Tree,en,2021-11-24,22.119,8.1,330
221,400608,Bo Burnham: Make Happy,en,2016-06-03,8.666,8.1,341
222,571265,Digimon Adventure: Last Evolution Kizuna,ja,2020-02-21,18.686,8.1,215
223,655,"Paris, Texas",en,1984-08-23,17.864,8.1,1519
224,992,Sherlock Jr.,en,1924-04-17,11.786,8.1,833
225,146233,Prisoners,en,2013-09-18,46.119,8.1,10611
226,740937,Simone: Woman of the Century,fr,2021-11-22,9.592,8.1,258
227,347688,Scooby-Doo! and KISS: Rock and Roll Mystery,en,2015-07-10,20.428,8.1,281
228,7345,There Will Be Blood,en,2007-12-26,26.723,8.1,5879
229,387,Das Boot,de,1981-09-17,20.88,8.1,1954
230,359940,"Three Billboards Outside Ebbing, Missouri",en,2017-12-01,25.402,8.1,9325
231,406,La Haine,fr,1995-05-31,22.07,8.1,3546
232,334543,Lion,en,2016-11-24,22.799,8.1,6154
233,8422,Rocco and His Brothers,it,1960-10-06,13.907,8.1,498
234,4348,Pride & Prejudice,en,2005-09-16,65.024,8.1,7294
235,62,2001: A Space Odyssey,en,1968-04-02,49.893,8.1,10451
236,118662,Decalogue I,pl,1989-09-05,7.238,8.1,208
237,10681,WALL·E,en,2008-06-22,80.593,8.1,17286
