name,rating,service,No of employees,Company Age,Location
Sri Chaitanya Schools,4.0,Education & Training , 11-50 Employees , 37 years old ,Hyderabad
Renew Solar Power,4.3,Power , 1k-5k Employees , 12 years old ,Gurgaon
Knorr-Bremse,4.1,Auto Components , 501-1k Employees , 10 years old ,Munich
Softenger,4.1,IT Services & Consulting , 501-1k Employees , 24 years old ,Pune
DuPont,4.2,Chemicals , 1k-5k Employees , 221 years old ,Wilmington
Sandhar Technologies,3.8,Auto Components , 1k-5k Employees , 36 years old ,Gurgaon/Gurugram
Aristo Pharmaceuticals,4.1,Pharma , 1k-5k Employees , 52 years old ,Mumbai
Suzuki Motorcycle,4.1,Automobile , 1k-5k Employees , 114 years old ,Hamamatsu
Rashmi Metaliks,3.5,Metals & Mining , 10k-50k Employees , 19 years old ,Kolkata
Centre for Development of Advanced Computing,3.8,IT Services & Consulting , 1k-5k Employees , 35 years old ,Pune
Star Cement,4.1,Building Material , 1k-5k Employees , 22 years old ,Kolkata
Indira IVF Hospital,4.0,Healthcare , 1k-5k Employees , 8 years old ,Udaipur
Amara Raja Group,4.1,Electrical Equipment , 10k-50k Employees , 38 years old ,Bangalore/Bengaluru
Varroc Polymers,3.8,Auto Components , 201-500 Employees , 28 years old ,Aurangabad
DLF,4.0,Real Estate , 501-1k Employees , 77 years old ,Gurgaon/Gurugram
GlaxoSmithKline Consumer Healthcare,4.5,Pharma , 1k-5k Employees , 23 years old ,London
Federal Bank,3.9,Banking , 10k-50k Employees , 92 years old ,Aluva
Telenor,4.5,Telecom , 501-1k Employees , 14 years old ,Fornebu
Orchids International School,2.9,Education & Training , 1k-5k Employees , 19 years old ,Nasik/Nashik
Greenko Group,3.8,Power , 1k-5k Employees , 19 years old ,Hyderabad
Greenko Group,3.8,Power , 1k-5k Employees , 19 years old ,Hyderabad
Kotak Mahindra Prime,4.0,Banking , 10k-50k Employees , 27 years old ,Mumbai
Page Industries,4.3,Fashion & Textile , 10k-50k Employees , 29 years old ,Bangalore/Bengaluru
Medlife,3.7,Internet , 1k-5k Employees , 9 years old ,Bangalore
Prodapt,3.8,IT Services & Consulting , 1k-5k Employees , 24 years old ,Chennai
Aarvi Encon,3.9,BPO , 1k-5k Employees , 36 years old ,Mumbai
Timken,4.0,Industrial Machinery , 1k-5k Employees , 25 years old ,Bangalore/Bengaluru
Rupeek,3.7,FinTech , 1k-5k Employees , 8 years old ,Bangalore
General Mills,4.3,IT Services & Consulting , 1k-5k Employees , 95 years old ,Minneapolis
Lakshmi Machine Works,4.0,Industrial Machinery , 1k-5k Employees , 61 years old ,Coimbatore
