name,rating,service,No of employees,Company Age,Location
Cholamandalam MS General Insurance,3.9,Insurance , 1k-5k Employees , 22 years old ,Chennai
Shree Cement,4.1,Building Material , 5k-10k Employees , 44 years old ,Kolkata
Blue Star,4.1,Consumer Electronics & Appliances , 1k-5k Employees , 80 years old ,Mumbai
Sterlite Technologies,3.9,Hardware & Networking , 1k-5k Employees , 35 years old ,Pune
Pfizer,4.1,Pharma , 1k-5k Employees , 19 years old ,Chennai
Johnson Controls,3.4,Industrial Automation , 1k-5k Employees , 28 years old ,Cork
Delhi Public School,3.9,Education & Training , 1k-5k Employees , 25 years old ,Greater Noida
Dalmia Bharat Cement,4.1,Building Material , 5k-10k Employees , 88 years old ,Delhi/NCR
TVS Credit,4.3,NBFC , 10k-50k Employees , 15 years old ,Chennai
Croma,4.2,Retail , 1k-5k Employees , 17 years old ,Mumbai
CG Power and Industrial Solutions,3.8,Electrical Equipment , 1k-5k Employees , 86 years old ,Mumbai
Sonalika Tractors,3.8,Automobile , 1k-5k Employees , 54 years old ,Hoshiarpur
Yazaki,3.8,Auto Components , 10k-50k Employees , 82 years old ,Tokyo
Renault-Nissan,4.1,Automobile , 10k-50k Employees , 16 years old ,Chennai
Emcure Pharmaceuticals,3.8,Pharma , 5k-10k Employees , 42 years old ,Pune
Samsung Electronics,4.1,Noida +184 more,,,Noida
Mahindra Logistics,4.1,Logistics , 1k-5k Employees , 23 years old ,Mumbai
IKS Health,3.6,Healthcare , 5k-10k Employees , 16 years old ,Mumbai
PVR Cinemas,4.2,Media & Entertainment , 5k-10k Employees , 26 years old ,Gurgaon
HCL Infosystems,4.0,IT Services & Consulting , 51-200 Employees , 47 years old ,Noida
XpressBees,3.8,Logistics , 1k-5k Employees , 8 years old ,Pune
Kalyan Jewellers,4.8,Metals & Mining , 5k-10k Employees , 30 years old ,Bengaluru/Bangalore
Datamatics Global Services,3.6,IT Services & Consulting , 1k-5k Employees , 48 years old ,Mumbai
BHEL,4.2,Electrical Equipment , 10k-50k Employees , 59 years old ,Bangalore/Bengaluru
Raymond,4.1,Fashion & Textile , 5k-10k Employees , 98 years old ,New York
V-Mart,4.2,Retail , 5k-10k Employees , 21 years old ,Gurgaon/Gurugram
LTIMindtree,3.7,IT Services & Consulting , 27 years old , 27 years old ,Pune
Indus Towers,4.0,Telecom , 1k-5k Employees , 16 years old ,Gurgaon
Parle Agro,4.2,Beverage , 1k-5k Employees , 39 years old ,Mumbai
Mahindra Holidays & Resorts,3.7,Hospitality , 5k-10k Employees , 27 years old ,Mumbai
DS Group,4.0,FMCG , 1k-5k Employees , 94 years old ,Noida
Barclays,4.1,Banking , 10k-50k Employees , 333 years old ,London
Zomato,3.7,Internet , 1k-5k Employees , 15 years old ,Gurgaon
Kalpataru Power Transmission,4.1,Power , 1k-5k Employees , 42 years old ,Mumbai
Poonawalla Fincorp,3.9,NBFC , 5k-10k Employees , 35 years old ,Mumbai
Indian Railways,4.1,Railways , 1 Lakh+ Employees , 170 years old ,Delhi/NCR
Ambuja Cements,3.9,Building Material , 5k-10k Employees , 40 years old ,Mumbai
SRF,4.3,Chemicals , 5k-10k Employees , 53 years old ,Gurgaon/Gurugram
Info Edge,4.1,Internet , 1k-5k Employees , 28 years old ,Noida
Cybage,4.0,IT Services & Consulting , 5k-10k Employees , 28 years old ,Pune
Whirlpool,4.1,Consumer Electronics & Appliances , 1k-5k Employees , 112 years old ,Michigan
Reliance Trends,4.3,Retail , 1 Lakh+ Employees , 17 years old ,Navi Mumbai
Shriram City,4.1,Financial Services , 10k-50k Employees , 37 years old ,Chennai
ICICI Securities,3.8,5k-10k Employees , Public , 28 years old ,Mumbai
Kansai Nerolac Paints,3.9,Chemicals , 1k-5k Employees , 103 years old ,Mumbai
Myntra,4.1,Retail , 1k-5k Employees , 16 years old ,Bangalore
Force Motors,3.4,Automobile , 1k-5k Employees , 65 years old ,Pune
Cadila Pharmaceuticals,3.3,Pharma , 5k-10k Employees , 72 years old ,Ahmedabad
Sterling & Wilson,4.1,Real Estate , 5k-10k Employees , 96 years old ,Mumbai
Shell,4.3,Oil & Gas , 10k-50k Employees , 19 years old ,London
Shahi Exports,4.1,Retail , 1 Lakh+ Employees , 49 years old ,Faridabad
BT Group,4.2,Telecom , 10k-50k Employees , 177 years old ,London
ITC Hotels,4.1,Hospitality , 5k-10k Employees , 48 years old ,Kolkata
3i Infotech,3.6,IT Services & Consulting , 1k-5k Employees , 30 years old ,Mumbai
JCB,4.0,Industrial Machinery , 1k-5k Employees , 78 years old ,Rocester
Endurance Technologies,3.8,Auto Components , 1k-5k Employees , 38 years old ,Aurangabad
Taurus BPO Services,4.7,BPO , 1k-5k Employees , 8 years old ,Pune
Blinkit,3.8,Internet , 1k-5k Employees , 10 years old ,Gurgaon
Bharti AXA Life Insurance,3.9,Insurance , 5k-10k Employees , 17 years old ,Mumbai
Delphi TVS,4.0,Auto Components , 1k-5k Employees , 34 years old ,Kanchipuram
Brakes India,4.0,Auto Components , 1k-5k Employees , 61 years old ,Chennai
Lodha group,4.1,Real Estate , 1k-5k Employees , 43 years old ,Mumbai
JK Tyres,3.8,Auto Components , 1k-5k Employees , 72 years old ,New Delhi
Bharat Petroleum,4.1,Oil & Gas , 5k-10k Employees , 71 years old ,Mumbai
Future Generali India Life Insurance,3.8,Insurance , 1k-5k Employees , 16 years old ,Mumbai
ZS,3.6,Management Consulting , 5k-10k Employees , 40 years old ,Evanston
Sobha,4.0,Real Estate , 1k-5k Employees , 28 years old ,Bangalore/Bengaluru
Syngene International,3.9,Pharma , 1k-5k Employees , 30 years old ,Bangalore/Bengaluru
Tata Motors Finance,4.2,NBFC , 1k-5k Employees , 66 years old ,Mumbai
Coromandel International,4.1,Agriculture , 5k-10k Employees , 62 years old ,Hyderabad/Secunderabad
Fujitsu,4.0,IT Services & Consulting , 5k-10k Employees , 88 years old ,Bangalore/Bengaluru
Aavas Financiers,4.0,Financial Services , 5k-10k Employees , 12 years old ,Jaipur
café Coffee day,4.0,Beverage , 10k-50k Employees , 27 years old ,Bengaluru
Mahindra Rural Housing Finance,4.1,Financial Services , 5k-10k Employees , 16 years old ,Mumbai
Thomson Reuters,4.2,Printing & Publishing , 1k-5k Employees , 15 years old ,Toronto
Tata Elxsi,4.0,IT Services & Consulting , 10k-50k Employees , 34 years old ,Bangalore/Bengaluru
Gabriel India,4.2,Auto Components , 1k-5k Employees , 62 years old ,Pune
MSN Laboratories,3.8,Pharma , 1k-5k Employees , 20 years old ,Hyderabad/Secunderabad
Movate,3.6,IT Services & Consulting , 10k-50k Employees (Global) , 27 years old ,Plano
Indian Navy,4.6,Defence & Aerospace , 50k-1 Lakh Employees , 73 years old ,Delhi/NCR
Kyndryl,4.0,IT Services & Consulting , 10k-50k Employees , 2 years old ,New York
Bureau Veritas,3.9,Accounting & Auditing , 1k-5k Employees , 195 years old ,Paris La Défense
Sopra Steria,4.0,IT Services & Consulting , 5k-10k Employees , 55 years old ,Paris
Honda,4.1,Automobile , 10k-50k Employees , 38 years old ,Greater Noida
suzuki motor gujarat,4.2,Fortune India 500 , Becharaji +61 more,Fortune India 500 ,Becharaji
Big Bazaar,4.3,Retail , 10k-50k Employees , 22 years old ,Mumbai
Care Health Insurance,3.8,Internet , 5k-10k Employees , 11 years old ,Gurgaon
GVK Emergency Management and Research Institute,3.7,Non-Profit , 10k-50k Employees , 18 years old ,Hyderabad/Secunderabad
Lucas-TVS,4.0,Auto Components , 5k-10k Employees , 62 years old ,Chennai
Ninjacart,3.9,Logistics , 1k-5k Employees , 8 years old ,Bangalore
Adani Wilmar,4.2,FMCG , 1k-5k Employees , 24 years old ,Ahmedabad
Power Mech Projects,3.8,Engineering & Construction , 1k-5k Employees , 16 years old ,Hyderabad/Secunderabad
CAMS,3.7,IT Services & Consulting , 5k-10k Employees , 35 years old ,Chennai
UpGrad,4.1,EdTech , 1k-5k Employees , 8 years old ,San Francisco
Parle Products,3.9,Food Processing , 1k-5k Employees , 94 years old ,Mumbai
TVS Sundram Fasteners,3.7,Auto Components , 1k-5k Employees , 61 years old ,Chennai
SAP,4.3,IT Services & Consulting , 5k-10k Employees , 51 years old ,Walldorf
Exide Life Insurance,3.8,Insurance , 1k-5k Employees , 22 years old ,Bangalore/Bengaluru
RMSI,3.8,IT Services & Consulting , 1k-5k Employees , 31 years old ,Noida
PHN Technology,4.6,Pune +29 more,,,Pune
Uflex,3.8,Packaging , 5k-10k Employees , 38 years old ,Noida
Motilal Oswal Financial Services,3.6,5k-10k Employees , Public , 36 years old ,Mumbai
ValueLabs,3.8,IT Services & Consulting , 5k-10k Employees , 26 years old ,Hyderabad/Secunderabad
Cisco,4.4,IT Services & Consulting , 10k-50k Employees , 39 years old ,San Jose
Canara HSBC Life Insurance,3.7,Insurance , 1k-5k Employees , 15 years old ,Gurgaon/Gurugram
Unacademy,3.4,EdTech , 1k-5k Employees , 8 years old ,Bangalore
Jindal Stainless,4.2,Iron & Steel , 1k-5k Employees , 53 years old ,Delhi/NCR
Tata Capital Financial Services,4.2,Financial Services , 1k-5k Employees , 16 years old ,Mumbai
Wockhardt,3.9,Pharma , 5k-10k Employees , 24 years old ,Mumbai
Renault Nissan Technology & Business Centre India,3.8,Automobile , 5k-10k Employees (Global) , 16 years old ,Chennai
Citicorp,3.8,Financial Services , 201-500 Employees , 26 years old ,Mumbai
IDBI Bank,3.8,Banking , 10k-50k Employees , 59 years old ,Mumbai
AXA Business Services,3.8,Insurance , 1k-5k Employees , 77 years old ,Paris
AECOM,4.2,Engineering & Construction , 1k-5k Employees , 33 years old ,Dallas
Laurus Labs,4.2,Pharma , 1k-5k Employees , 18 years old ,Hyderabad/Secunderabad
BA Continuum,4.3,IT Services & Consulting , 10k-50k Employees , 20 years old ,Gurgaon/Gurugram
NoBroker,3.4,Internet , 1k-5k Employees , 9 years old ,Bangalore
Fincare Small Finance Bank,4.0,NBFC , 5k-10k Employees , 16 years old ,Bangalore
Hindustan Aeronautics,4.3,Defence & Aerospace , 10k-50k Employees , 83 years old ,Bangalore/Bengaluru
Star Health & Allied Insurance,3.9,Insurance , 10k-50k Employees , 17 years old ,Chennai
Indiabulls,3.7,NBFC , 1k-5k Employees , 23 years old ,Gurgaon/Gurugram
XL Dynamics,3.4,Accounting & Auditing , 1k-5k Employees , 21 years old ,Navi Mumbai
Citibank,4.0,Banking , 1-10 Employees , 211 years old ,New York
Bhushan Power & Steel,4.0,Iron & Steel , 5k-10k Employees , 53 years old ,Delhi/NCR
Vedantu,3.4,EdTech , 5k-10k Employees , 12 years old ,Bangalore
Bank of Baroda,3.6,Banking , 50k-1 Lakh Employees , 115 years old ,Vadodara/Baroda
Xoriant,4.0,IT Services & Consulting , 1k-5k Employees , 33 years old ,Sunnyvale
G R Infraprojects,4.1,Engineering & Construction , 10k-50k Employees , 28 years old ,Udaipur
MetLife,4.4,IT Services & Consulting , 1k-5k Employees , 15 years old ,New York
Dr Lal PathLabs,4.2,Healthcare , 1k-5k Employees , 74 years old ,Gurgaon/Gurugram
DBS Bank,3.8,Banking , 5k-10k Employees , 8 years old ,Hyderabad/Secunderabad
Vardhman Fabrics,4.1,Fashion & Textile , 10k-50k Employees , Fortune India 500 ,Baddi
VVDN Technologies,3.6,IT Services & Consulting , 1k-5k Employees , 16 years old ,Gurgaon
Kotak Securities,3.7,Financial Services , 5k-10k Employees , 29 years old ,Mumbai
Tata Play,4.1,Media & Entertainment , 1k-5k Employees , 17 years old ,Mumbai
Sify Technologies,4.0,Telecom , 1k-5k Employees , 28 years old ,Chennai
Narayana Health,4.2,Healthcare , 10k-50k Employees , 23 years old ,Bangalore/Bengaluru
CMA CGM,4.1,Ports & Shipping , 1k-5k Employees , 45 years old ,Marseille
Harman Connected Services,3.7,IT Services & Consulting , 10k-50k Employees , 22 years old ,Mountain View
Aragen Life Sciences,4.2,Pharma , 1k-5k Employees , 23 years old ,Hyderabad/Secunderabad
Aditya Birla Capital,4.0,Financial Services , 10k-50k Employees , 16 years old ,Mumbai
Philips,3.9,Consumer Electronics & Appliances , 5k-10k Employees , 93 years old ,Amsterdam
Akums Drugs & Pharmaceuticals,4.0,Pharma , 1k-5k Employees , 19 years old ,Delhi/NCR
Reliance General Insurance,3.8,Insurance , 5k-10k Employees , 23 years old ,Mumbai
Honeywell Automation,3.9,Consumer Electronics & Appliances , 10k-50k Employees , 117 years old ,Morris Plains
PhonePe,4.1,FinTech , 501-1k Employees , 8 years old ,Bangalore
SGS,4.0,1k-5k Employees , Forbes Global 2000 , 145 years old ,Geneva
HERE Technologies,3.9,IT Services & Consulting , 1k-5k Employees , 38 years old ,Eindhoven
Yamaha Motor,4.0,Automobile , 1k-5k Employees , 16 years old ,Iwata
Hero FinCorp,4.2,NBFC , 5k-10k Employees , 32 years old ,Delhi
Quest Global,3.6,10k-50k Employees , 26 years old , 26 years old ,Singapore
BT Global Services,4.1,IT Services & Consulting , 1k-5k Employees , 23 years old ,London
Crisil,3.8,Financial Services , 1k-5k Employees , 36 years old ,Mumbai
Intellect Design Arena,4.0,FinTech , 1k-5k Employees , 9 years old ,Chennai
Novartis,4.1,Pharma , 1k-5k Employees , 27 years old ,Switzerland
Straive,3.6,EdTech , 1k-5k Employees , 43 years old ,Singapore
Sigma Electric Manufacturing Corporation,4.0,Industrial Machinery , 1k-5k Employees , 41 years old ,Garner
Amazon Transportation Services,4.2,Logistics , 1k-5k Employees , 11 years old ,Seattle
Microland,3.6,IT Services & Consulting , 1k-5k Employees , 34 years old ,Bangalore
CMS Infosystems,3.7,IT Services & Consulting , 5k-10k Employees , 15 years old ,Mumbai
Allsec Technologies,3.9,BPO , 5k-10k Employees , 23 years old ,Chennai
Safexpress,4.1,Logistics , 5k-10k Employees , 26 years old ,Delhi/NCR
Reckitt Benckiser,4.1,FMCG , 1k-5k Employees , 24 years old ,Slough
Metro,4.2,Retail , 1k-5k Employees , 59 years old ,Bangalore/Bengaluru
Biological E,4.2,Pharma , 1k-5k Employees , 70 years old ,Hyderabad/Secunderabad
Exotic Learning,4.6,EdTech , 51-200 Employees , 3 years old ,Lucknow
YASH Technologies,3.9,IT Services & Consulting , 5k-10k Employees , 27 years old ,East Moline
Meesho,3.7,Internet , 1k-5k Employees , 8 years old ,Bangalore
NCR Corporation,4.1,Software Product , 5k-10k Employees , 139 years old ,Atlanta
Piramal Group,4.0,Financial Services , 1k-5k Employees , 43 years old ,Mumbai
TCE,3.8,Engineering & Construction , 5k-10k Employees , 61 years old ,Mumbai
Exl India,3.7,IT Services & Consulting , 11-50 Employees , 66 years old ,New Delhi
Spark Minda,3.8,Auto Components , 10k-50k Employees , 65 years old ,Gurgaon
SBI General Insurance,3.9,Insurance , 1k-5k Employees , 14 years old ,Mumbai
Oberoi Group of Hotels,4.2,Hospitality , 1k-5k Employees , 89 years old ,Delhi/NCR
Cavinkare,4.0,FMCG , 1k-5k Employees , 40 years old ,Chennai
Hyatt Regency,4.2,Hospitality , 1k-5k Employees , 43 years old ,New Delhi
ABC,3.9,Broadcasting , 1k-5k Employees (Global) , 80 years old ,New York
KONE,4.2,Engineering & Construction , 5k-10k Employees , 113 years old ,Chennai
Procter & Gamble,4.3,FMCG , 10k-50k Employees , 186 years old ,Cincinnati
DIVI'S Laboratories,3.7,Healthcare , 10k-50k Employees , 33 years old ,Hyderabad/Secunderabad
Microsoft Corporation,4.2,Software Product , 5k-10k Employees , 48 years old ,Sunnyvale
Honeywell Technology Solutions,3.9,Defence & Aerospace , 10k-50k Employees , 29 years old ,Bangalore/Bengaluru
ESAF Microfinance & Investments (P),3.9,Financial Services , 1k-5k Employees , 7 years old ,Thrissur/Trichur
Karvy Data Management Services,3.6,Analytics & KPO , 1k-5k Employees , 15 years old ,Hyderabad/Secunderabad
USV,4.0,Pharma , 1k-5k Employees , 62 years old ,Mumbai
Angel One,3.9,Financial Services , 1k-5k Employees , 1k-5k Employees ,Mumbai
Adecco Group,3.8,Recruitment , 1k-5k Employees , 24 years old ,Zurich
Optum Global Solutions,4.1,IT Services & Consulting , 1k-5k Employees , 1k-5k Employees ,Hyderabad/Secunderabad
Mother Dairy Fruit & Vegetable,4.2,Food Processing , 1k-5k Employees , 49 years old ,Noida
SS&C TECHNOLOGIES,3.6,Software Product , 5k-10k Employees , 37 years old ,Windsor Locks
USHA International,4.3,Consumer Electronics & Appliances , 1k-5k Employees , 89 years old ,Gurgaon/Gurugram
Johnson & Johnson,4.3,Pharma , 1k-5k Employees , 66 years old ,New Brunswick
Mercedes-Benz Research & Development India,4.0,Automobile , 5k-10k Employees , 27 years old ,Bengaluru/Bangalore
KFintech,3.6,FinTech , 5k-10k Employees , 6 years old ,Hyderabad
Innovsource Services,4.0,Recruitment , 1k-5k Employees , 19 years old ,Mumbai
Alstom Transportation,3.9,Engineering & Construction , 5k-10k Employees , 95 years old ,Saint-Ouen
Honda Cars,4.3,Automobile , 5k-10k Employees , Fortune India 500 ,Greater Noida
24-7 Intouch,3.1,BPO , 1k-5k Employees , 22 years old ,Winnipeg
Jet Airways,4.6,Aviation , 201-500 Employees , 30 years old ,Mumbai
Matrimony.com,4.4,Internet , 1k-5k Employees , 26 years old ,Chennai
Samsung India Electronics,4.1,Consumer Electronics & Appliances , Noida +149 more,Consumer Electronics & Appliances ,Noida
Aon,3.9,Financial Services , 10k-50k Employees , 83 years old ,London
Google,4.4,Internet , 10k-50k Employees , 25 years old ,Mountain View
Max Fashion,4.2,Retail , 5k-10k Employees , 9 years old ,Abu Dhabi
V-Guard Industries,4.4,Electrical Equipment , 1k-5k Employees , 46 years old ,Kochi/Cochin
Torrent Power,3.8,Power , 5k-10k Employees , 27 years old ,Ahmedabad
DHL Express,4.1,Logistics , 1k-5k Employees , 44 years old ,Bonn
Motherson Automotive Technologies and Engineering,4.0,Auto Components , 501-1k Employees , 26 years old ,Noida
Niva Bupa Health Insurance Company,3.7,Financial Services , 1k-5k Employees , 15 years old ,Delhi/NCR
Verizon,4.2,Telecom , 5k-10k Employees , 23 years old ,New York City
PI Industries,4.2,Agro Chemicals , 1k-5k Employees , 76 years old ,Gurgaon/Gurugram
CitiusTech,3.6,IT Services & Consulting , 1k-5k Employees , 18 years old ,New Jersey
HDFC Securities,3.6,Financial Services , 1k-5k Employees , 23 years old ,Mumbai
Isgec Heavy Engineering,3.9,Industrial Machinery , 1k-5k Employees , 90 years old ,Noida
First American Corporation,3.9,IT Services & Consulting , 1k-5k Employees , 134 years old ,Santa Ana
DHL Supply Chain,4.3,Logistics , 1k-5k Employees , 54 years old ,Bonn
Credit Suisse,4.1,5k-10k Employees , 167 years old , 167 years old ,Zurich
Aforeserve,3.4,IT Services & Consulting , 1k-5k Employees , 23 years old ,Noida
Chegg,4.3,IT Services & Consulting , 501-1k Employees , 18 years old ,Santa Clara
Orange Business Services,4.3,IT Services & Consulting , 1k-5k Employees , 17 years old ,Paris
Swaraj Tractors,4.2,Automobile , 1k-5k Employees , 61 years old ,Mumbai
Planet Spark,3.7,EdTech , 51-200 Employees , 6 years old ,Gurgaon
Medi Assist India,3.7,Healthcare , 1k-5k Employees , 23 years old ,Bangalore
NTPC,4.3,10k-50k Employees , Fortune India 500 , 48 years old ,Delhi/NCR
Varroc Group,3.7,Auto Components , 1k-5k Employees , 35 years old ,Aurangabad
Dell EMC,4.2,IT Services & Consulting , 10k-50k Employees , 44 years old ,Hopkinton
Tata Communications Transformation Services,4.1,Telecom , 10k-50k Employees , 17 years old ,Mumbai
Team Computers,3.7,IT Services & Consulting , 1k-5k Employees , 36 years old ,Delhi/NCR
Belrise Industries,3.8,Auto Components , 10k-50k Employees , 27 years old ,Aurangabad
Kent RO Systems,3.6,Consumer Electronics & Appliances , 1k-5k Employees , 24 years old ,Noida
Inox Leisure,4.1,Media & Entertainment , 10k-50k Employees , 24 years old ,Mumbai
Marriott International,4.2,Hospitality , 10k-50k Employees , 96 years old ,Bethesda
FactSet,4.0,Analytics & KPO , 1k-5k Employees , 45 years old ,Norwalk
Hindustan Construction Company,4.1,Engineering & Construction , 1k-5k Employees , 97 years old ,Mumbai
Medanta the Medicity,4.2,Healthcare , 1k-5k Employees , 14 years old ,Gurgaon
Faurecia,4.0,Auto Components , 1k-5k Employees , 26 years old ,Nanterre
Sony,4.4,Consumer Electronics & Appliances , 1k-5k Employees , 29 years old ,Delhi/NCR
FedEx Express,4.2,Logistics , 5k-10k Employees , 52 years old ,Moon Township
Jindal Saw,4.0,Building Material , 1k-5k Employees , 39 years old ,Delhi/NCR
Emami,4.0,FMCG , 1k-5k Employees , 49 years old ,Kolkata
Dainik Bhaskar Group Of Publication,4.0,Printing & Publishing , 5k-10k Employees , 65 years old ,Bhopal
Nayara Energy,4.2,Oil & Gas , 1k-5k Employees , 34 years old ,Mumbai
Tesco,4.0,IT Services & Consulting , 1k-5k Employees , 104 years old ,Hertfordshire
Mercer,3.9,Management Consulting , 1k-5k Employees , 78 years old ,New York
SRL Diagnostics,4.1,Healthcare , 1k-5k Employees , 28 years old ,Mumbai
SBI Securities,3.7,Financial Services , 5k-10k Employees , 17 years old ,Mumbai
Haier Appliances India,4.0,Consumer Electronics & Appliances , 1k-5k Employees , 19 years old ,Qingdao
L&T Energy Hydrocarbon,3.8,Oil & Gas , 5k-10k Employees , 14 years old ,Mumbai
Trent,4.1,Retail , 1k-5k Employees , 25 years old ,Mumbai
Allstate,4.1,IT Services & Consulting , 5k-10k Employees , 11 years old ,Bangalore/Bengaluru
Bharat Financial Inclusion,4.1,Financial Services , 10k-50k Employees , 25 years old ,Hyderabad
Security and Intelligence Services (India),4.2,BPO , 1 Lakh+ Employees , 38 years old ,Delhi/NCR
Saint-Gobain,4.0,Building Material , 10k-50k Employees , 358 years old ,Paris
iOPEX Technologies,3.9,IT Services & Consulting , 1k-5k Employees , 14 years old ,San Jose
Sitel,3.8,BPO , 5k-10k Employees , 38 years old ,Miami
Bata,3.9,Fashion & Textile , 1k-5k Employees , 92 years old ,Lausanne
J. Kumar Infraprojects,4.1,Engineering & Construction , 5k-10k Employees , 43 years old ,Mumbai
KFC,4.2,Hospitality , 1k-5k Employees , 71 years old ,Louisville
Muthoot Group,3.6,NBFC , 1k-5k Employees , 136 years old ,Wedel
NIIT,3.6,Education & Training , 1k-5k Employees , 42 years old ,Gurgaon/Gurugram
Frankfinn Institute of Air Hostess Training,3.9,Education & Training , 1k-5k Employees , 30 years old ,Gurgaon/Gurugram
L.G.Balakrishnan & Bros,3.8,Industrial Machinery , 1k-5k Employees , 86 years old ,Coimbatore
Apollo Pharmacy,3.9,Pharma , 10k-50k Employees , 40 years old ,Chennai
Panasonic,4.0,Consumer Electronics & Appliances , 10k-50k Employees , 105 years old ,Kadoma
Barclays Shared Services,4.2,IT Services & Consulting , 5k-10k Employees , 16 years old ,London
Hindustan Petroleum,4.2,Oil & Gas , 10k-50k Employees , 49 years old ,Mumbai
Oracle Cerner,3.9,IT Services & Consulting , 1k-5k Employees , 44 years old ,Kansas
Relaxo Footwear,4.1,Fashion & Textile , 1k-5k Employees , 47 years old ,New Delhi
Globiva,3.3,BPO , 1k-5k Employees , 6 years old ,Gurgaon/Gurugram
TATA Power,4.0,Power , 10k-50k Employees , 112 years old ,Mumbai
Narayana Educational Society,3.6,Education & Training , 1k-5k Employees , 38 years old ,Hyderabad/Secunderabad
HCL Technologies BPO Services,3.6,BPO , 1 Lakh+ Employees , 23 years old ,Noida
Trident Group,3.5,Fashion & Textile , 10k-50k Employees , 33 years old ,Ludhiana
Paisabazaar.com,3.6,FinTech , 1k-5k Employees , 9 years old ,Gurgaon/Gurugram
ISS Facility Services,4.2,Facility Management Services , 10k-50k Employees , 18 years old ,Copenhagen
Tata Capital,4.1,NBFC , 5k-10k Employees , 16 years old ,Mumbai
Lumax Industries,4.0,Auto Components , 1k-5k Employees , 78 years old ,Pune
Marico,4.1,FMCG , 1k-5k Employees , 33 years old ,Mumbai
Toyota Kirloskar Motor,4.3,Automobile , 5k-10k Employees , 26 years old ,Bangalore/Bengaluru
Pantaloons,4.2,Fashion & Textile , 10k-50k Employees , 26 years old ,Mumbai
Tata Group,4.4,IT Services & Consulting , 1 Lakh+ Employees , 155 years old ,Mumbai
Welspun,4.0,Fashion & Textile , 5k-10k Employees , 38 years old ,Mumbai
IDC Technologies,3.3,IT Services & Consulting , 1k-5k Employees , 20 years old ,Milpitas
Aircel,4.4,Telecom , 5k-10k Employees , 24 years old ,Gurgaon/Gurugram
Ocwen Financial Solutions,4.0,Financial Services , 1k-5k Employees , 35 years old ,West Palm Beach
Star Union Dai-ichi Life Insurance,3.9,Insurance , 1k-5k Employees , 14 years old ,Navi Mumbai
Fabindia,3.9,Fashion & Textile , 1k-5k Employees , 65 years old ,Delhi/NCR
VLCC,3.8,FMCG , 201-500 Employees , 34 years old ,Delhi/NCR
Nuvoco Vistas,4.2,Building Material , 1k-5k Employees , 24 years old ,Mumbai
Daikin,4.2,Consumer Electronics & Appliances , 1k-5k Employees , 23 years old ,Osaka City
Satin Creditcare Network,4.2,NBFC , 5k-10k Employees , 33 years old ,Gurgaon/Gurugram
BNP Paribas,3.9,Financial Services , 10k-50k Employees , 175 years old ,Paris
Morgan Stanley,3.8,Financial Services , 10k-50k Employees , 92 years old ,New York
Haldiram Foods,4.0,FMCG , 1k-5k Employees , 53 years old ,Nagpur
Suguna Foods,4.0,Food Processing , 5k-10k Employees , 39 years old ,Coimbatore
Aadhar Housing Finance,4.2,Financial Services , 1k-5k Employees , 13 years old ,Mumbai
Bajaj Capital,3.9,Financial Services , 1k-5k Employees , 59 years old ,Delhi/NCR
Akzo Nobel India,4.1,Chemicals , 1k-5k Employees , 84 years old ,Amsterdam
Oracle Financial Services Software,3.9,IT Services & Consulting , 10k-50k Employees , 33 years old ,Mumbai
Collabera Technologies,3.5,IT Services & Consulting , 501-1k Employees , 32 years old ,Basking Ridge
HTC Global Services,3.7,IT Services & Consulting , 5k-10k Employees , 33 years old ,Troy
Daimler India Commercial Vehicles,4.1,Automobile , 1k-5k Employees , 137 years old ,Chennai
Photon Interactive,4.1,IT Services & Consulting , 1k-5k Employees , 24 years old ,London
Bayer,4.2,Pharma , 1k-5k Employees , 160 years old ,Monheim Am Rhein
Edelweiss,3.8,Financial Services , 5k-10k Employees , 6 years old ,Mumbai
Fusion BPO Services,3.1,BPO , 1k-5k Employees , 19 years old ,Draper
Krishna Maruti,4.1,Auto Components , 1k-5k Employees , 29 years old ,Gurgaon/Gurugram
Cushman & Wakefield,4.3,Real Estate , 1k-5k Employees , 26 years old ,Chicago
CGI Information Systems And Management Consultants,4.2,Bengaluru/Bangalore +9 more,,,Bengaluru/Bangalore
Bharat Forge,3.8,Iron & Steel , 1k-5k Employees , 62 years old ,Pune
Standard Chartered Global Business Services,4.0,IT Services & Consulting , 10k-50k Employees , 22 years old ,Chennai
Iksula,4.0,IT Services & Consulting , 201-500 Employees , 16 years old ,Mumbai
Adani Power,3.9,Power , 1k-5k Employees , 17 years old ,Ahmedabad
GE Vernova,4.2,Noida +63 more,,,Noida
Unisys,3.9,IT Services & Consulting , 1k-5k Employees , 37 years old ,Blue Bell
TTEC India,3.9,BPO , 1k-5k Employees , 39 years old ,Englewood
Gland Pharma,3.9,Pharma , 1k-5k Employees , 45 years old ,Hyderabad/Secunderabad
Hero Motors Company,4.0,Automobile , 201-500 Employees , 25 years old ,New Delhi
Sysnet Global Technologies,3.6,IT Services & Consulting , 1k-5k Employees , 24 years old ,Delhi/NCR
Indiabulls Home Loans,3.9,NBFC , 5k-10k Employees , 18 years old ,Gurgaon/Gurugram
Aptara,3.3,Printing & Publishing , 1k-5k Employees , 35 years old ,Falls Church
Sharekhan,4.0,FinTech , 1k-5k Employees , 23 years old ,Mumbai
Supreme Industries,4.1,5k-10k Employees , Public , 81 years old ,Mumbai
