,Name,Rating,Cuisine,Avg Rate,Area,Zone
493,Misu Misu,," Asian, Thai, Seafood","₹ 1,000 for 2 (approx) ",Civil Lines, West Nagpur
494,Ravaan Restaurant,," North Indian, Biryani",₹ 400 for 2 (approx) ,Sadar, West Nagpur
495,Dahiya Momos,," Fast Food, Tibetan",₹ 300 for 2 (approx) ,Ramdaspeth, West Nagpur
496,Mumbai Vada Pav,," Fast Food, Street Food",₹ 300 for 2 (approx) ,Sadar, West Nagpur
497,Haldiram's,," North Indian, Continental, South Indian, Chinese, Desserts",₹ 500 for 2 (approx) ,Gandhibagh, East Nagpur
498,Dinkys,, Chinese,₹ 200 for 2 (approx) ,Gandhibagh, East Nagpur
499,Magic Of China,, Chinese,₹ 500 for 2 (approx) ,Gandhibagh, East Nagpur
500,The Glass Onion,, Fast Food,₹ 300 for 2 (approx) ,Ayodhya Nagar, South Nagpur
501,Amazing Blazing Cakes,," Fast Food, Beverages, Desserts",₹ 400 for 2 (approx) ,Dharampeth, West Nagpur
502,Crostino,4," Fast Food, Italian",₹ 500 for 2 (approx) ,Manish Nagar, South Nagpur
503,The Terrace View,," North Indian, Chinese, Continental","₹ 1,200 for 2 (approx) ",Dharampeth, West Nagpur
504,Corridor Seven Coffee Roaster,," Desserts, Continental",₹ 800 for 2 (approx) ,Dharampeth, West Nagpur
505,Nourrir,, North Indian,₹ 500 for 2 (approx) ,Dharampeth, West Nagpur
506,The Thick Shake Factory,, Desserts,₹ 500 for 2 (approx) ,Dharampeth, West Nagpur
507,Radar Cafe Bistro,," North Indian, Chinese",₹ 800 for 2 (approx) ,Sadar, West Nagpur
508,Cafe Illusions,," Continental, Fast Food, Health Food","₹ 1,000 for 2 (approx) ","LAD Apartment,Dharampeth", West Nagpur
509,The Melt - Sandwiches And More,," Fast Food, Pizza, Italian",₹ 500 for 2 (approx) ,Dharampeth, West Nagpur
510,Natural Fresh Ice Cream,, Desserts,₹ 400 for 2 (approx) ,Dharampeth, West Nagpur
511,Redel - World Of Desserts,, Desserts,₹ 400 for 2 (approx) ,Dharampeth, West Nagpur
512,Shivshakti Ice Cream,, Desserts,₹ 600 for 2 (approx) ,Gokulpeth, West Nagpur
513,Raj Bhandar,, Street Food,₹ 200 for 2 (approx) ,Sadar, West Nagpur
514,Barista,, Fast Food,₹ 600 for 2 (approx) ,Wardha Road, South Nagpur
515,Hotel Al-Zam Zam,," North Indian, Mughlai, Chinese",₹ 700 for 2 (approx) ,Lakadganj, East Nagpur
516,Choti Lahori,," Fast Food, Chinese, North Indian, Mughlai, Biryani","₹ 1,000 for 2 (approx) ",Dharampeth, West Nagpur
517,Eat Street Express,," North Indian, Chinese",₹ 600 for 2 (approx) ,Dharampeth, West Nagpur
518,Hotel Chariot,," Chinese, North Indian, Fast Food",₹ 700 for 2 (approx) ,Dharampeth, West Nagpur
519,Gayatri Bhojnalaya,, Maharashtrian,₹ 300 for 2 (approx) ,Dharampeth, West Nagpur
520,La Horee Deluxe Bar And Restaurant,," Chinese, North Indian","₹ 1,600 for 2 (approx) ",Dharampeth, West Nagpur
521,The Blue Door,," Chinese, Italian, North Indian","₹ 1,200 for 2 (approx) ",Gokulpeth, West Nagpur
522,Plated,5," North Indian, Chinese, Italian","₹ 1,300 for 2 (approx) ",Hingna T Point, South Nagpur
523,7th Heaven Cake Shop,, Desserts,₹ 300 for 2 (approx) ,Gokulpeth, West Nagpur
524,Jubilee Bakery,, Fast Food,₹ 400 for 2 (approx) ,Chhaoni, North Nagpur
525,The Momo's Hut,, Fast Food,₹ 700 for 2 (approx) ,Sadar, West Nagpur
526,Domino's Pizza,5," Pizza, Fast Food",₹ 500 for 2 (approx) ,Mankapur, North Nagpur
527,Yello Cafe And Restro,," Chinese, North Indian, Fast Food, Street Food","₹ 1,000 for 2 (approx) ",Civil Lines, West Nagpur
528,Crisp's by Shazz,, North Indian,₹ 300 for 2 (approx) ,Chhaoni, North Nagpur
529,Firangi Kitchen By Nagpur Chi Khaugalli,, Fast Food,₹ 300 for 2 (approx) ,Bajaj Nagar, West Nagpur
530,Theobroma,, Desserts,₹ 700 for 2 (approx) ,Byramji Town, North Nagpur
531,Pizza Hut - 2253,," Pizza, Fast Food",₹ 800 for 2 (approx) ,Chhaoni, North Nagpur
532,The Kitchen Dairies,, North Indian,₹ 400 for 2 (approx) ,Chhaoni, North Nagpur
533,Shivshakti Ice Cream,, Desserts,₹ 600 for 2 (approx) ,Dharampeth, West Nagpur
534,Raj Bhandar,, Street Food,₹ 200 for 2 (approx) ,Dharampeth, West Nagpur
535,Domino's Pizza,," Pizza, Fast Food",₹ 500 for 2 (approx) ,Sadar, West Nagpur
536,Cafe Fidatoj,4.1," Fast Food, Italian, Chinese",₹ 800 for 2 (approx) ,Hingna T Point, South Nagpur
537,Cake Links,,,₹ 400 for 2 (approx),Dharampeth, West Nagpur
538,Thaliwala.Com,, North Indian,₹ 400 for 2 (approx) ,Dharampeth, West Nagpur
539,The Corner House,," North Indian, Maharashtrian, Mughlai, Chinese","₹ 1,200 for 2 (approx) ",Bajaj Nagar, West Nagpur
540,Hotel Al Zam Zam,," North Indian, Chinese, Mughlai, Biryani",₹ 700 for 2 (approx) ,Dharampeth, West Nagpur
541,Ustad Kitchen,," Fast Food, North Indian",₹ 500 for 2 (approx) ,Bajaj Nagar, West Nagpur
542,Panino The Sandwich World,, Fast Food,₹ 200 for 2 (approx) ,"Poonam Chambers,Sadar", West Nagpur
